BU_CODE;I01_buurtcode;I02_buurtnaam;I03_wijkcode;I04_wijknaam;I05_gemeentecode;I06_gemeentenaam;I07_energieregionaam;I08_provincienaam;I09_aantal_woningen;I10_aantal_utiliteit;I11_woningequivalenten;Uitgesloten;H01_warmtetotaal;H02_Vraag_aardgas;H03_Vraag_groengas;H04_Vraag_elekwarmte;H05_Vraag_MTwarmte;H06_Vraag_LTwarmte;H07_Warmte_hectare;H08_Vraag_koude;H09_Vraag_elektotaal;H10_CO2_reductie;H11_Nat_abskosten;H12_Nat_meerkosten;H13_Nat_meerkost_CO2;H16_Nat_meerkost_WEQ;nr_OrgEntity
BU01640000;BU01640000;Binnenstad-Centrum;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;684;402;1961;False;5;0;0;5;0;0;405;2;47;5347;5048737;1109529;208;566;1067
BU01640001;BU01640001;Binnenstad-West;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;476;111;913;False;7;0;0;7;0;0;336;2;38;2604;2171322;595004;228;652;1068
BU01640002;BU01640002;Binnenstad-Oost;WK016400;Wijk 00 Binnenstad;GM0164;Hengelo;Twente;Overijssel;563;115;789;False;8;0;0;8;0;0;246;2;29;2309;1996614;780164;338;989;1069
BU01640100;BU01640100;Hengelose Es-Noord;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1719;318;1895;False;8;0;0;8;0;0;169;2;22;4355;3921102;1653879;380;873;1070
BU01640101;BU01640101;Tichelwerk;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1819;285;2422;False;7;0;0;7;0;0;267;2;24;6951;5677202;2482756;357;1025;1071
BU01640102;BU01640102;t Wilbert;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;1399;104;1511;False;10;0;0;10;0;0;257;2;22;4511;3723730;1784012;396;1181;1072
BU01640103;BU01640103;Bedrijventerrein Timmersveld;WK016401;Wijk 01 Hengelose Es;GM0164;Hengelo;Twente;Overijssel;28;22;172;False;5;0;0;5;0;0;47;2;59;491;582913;122960;250;717;1073
BU01640200;BU01640200;Noord;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;2038;416;2230;False;8;0;0;8;0;0;244;2;22;5504;4665409;2055549;373;922;1074
BU01640201;BU01640201;Elsbeek;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;918;114;1072;False;10;0;0;10;0;0;278;2;26;3263;2748529;1250182;383;1167;1075
BU01640202;BU01640202;De Noork;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;1184;151;1273;False;8;0;0;8;0;0;291;2;21;3172;2693726;1226505;387;964;1076
BU01640203;BU01640203;Klein Driene;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;854;106;893;False;7;0;0;7;0;0;292;2;18;1623;1487302;674518;416;756;1077
BU01640204;BU01640204;t Rot;WK016402;Wijk 02 Noord;GM0164;Hengelo;Twente;Overijssel;41;9;65;False;9;0;0;9;0;0;8;3;31;177;196930;41762;236;645;1078
BU01640300;BU01640300;Bovenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;926;10;954;False;9;0;0;9;0;0;158;2;20;2299;1884978;814067;354;853;1079
BU01640301;BU01640301;Schothorsthoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;277;10;312;False;11;0;0;11;0;0;74;2;25;1052;819572;316256;301;1016;1080
BU01640302;BU01640302;Bartelinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;559;8;566;False;8;0;0;8;0;0;87;2;19;1367;1070558;465510;341;824;1081
BU01640303;BU01640303;Tijertshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;6;508;False;8;0;0;8;0;0;228;2;19;1223;974756;424637;347;836;1082
BU01640304;BU01640304;Sogtoenhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;725;58;891;False;7;0;0;7;0;0;273;2;27;1965;1902448;784618;399;881;1083
BU01640305;BU01640305;Bruninkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;453;3;454;False;9;0;0;9;0;0;218;2;20;1177;916321;391058;332;863;1084
BU01640306;BU01640306;Middelhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;634;10;638;False;9;0;0;9;0;0;126;2;21;1712;1304836;548499;320;860;1085
BU01640307;BU01640307;Molendijkhoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;687;17;718;False;9;0;0;9;0;0;215;2;21;1881;1515383;660105;351;920;1086
BU01640308;BU01640308;Weijinkshoek;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;497;3;498;False;8;0;0;8;0;0;180;1;19;1196;952666;413721;346;832;1087
BU01640309;BU01640309;Oosterveld;WK016403;Wijk 03 Hasseler Es;GM0164;Hengelo;Twente;Overijssel;34;38;131;False;6;0;0;6;0;0;15;3;43;288;370195;60968;212;466;1088
BU01640400;BU01640400;Zwavertshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;531;145;567;False;8;0;0;8;0;0;169;3;22;1445;1301703;592986;410;1046;1089
BU01640401;BU01640401;Anninks-/Nijhofshoek;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1101;258;1458;False;8;0;0;8;0;0;165;2;26;3960;3528250;1485649;375;1019;1090
BU01640402;BU01640402;Groot Driene-Zuid;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1064;97;1152;False;9;0;0;9;0;0;174;2;23;3383;2756228;1133686;335;985;1091
BU01640403;BU01640403;Groot Driene-Noord;WK016404;Wijk 04 Groot Driene;GM0164;Hengelo;Twente;Overijssel;1640;342;2050;False;7;0;0;7;0;0;181;2;22;4827;4504000;2067011;428;1008;1092
BU01640500;BU01640500;Bedrijventerrein Twentekanaal-Zuid II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;2;8;81;False;4;0;0;4;0;0;6;1;31;136;181709;18909;139;235;1093
BU01640501;BU01640501;Berflo Es Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;1915;152;2181;False;8;0;0;8;0;0;256;2;22;5103;4430849;1922138;377;882;1094
BU01640502;BU01640502;Berflo Es Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;721;92;772;False;9;0;0;9;0;0;249;2;22;2127;1695464;741414;349;960;1095
BU01640503;BU01640503;Bedrijventerrein Twentekanaal-Noord II;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;26;33;198;False;4;0;0;4;0;0;24;1;21;334;327887;79731;238;404;1096
BU01640504;BU01640504;Veldwijk-Noord;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;520;39;602;False;7;0;0;7;0;0;154;1;20;1079;1121264;515496;478;857;1097
BU01640505;BU01640505;Veldwijk-Zuid;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;476;34;588;False;8;0;0;8;0;0;67;2;25;1574;1367060;530984;337;904;1098
BU01640506;BU01640506;Boeldershoek;WK016405;Wijk 05 Berflo Es;GM0164;Hengelo;Twente;Overijssel;7;4;13;False;10;0;0;10;0;0;1;5;44;62;81199;12011;193;981;1099
BU01640600;BU01640600;Bedrijventerrein Twentekanaal-Zuid I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;26;122;1106;False;3;0;0;3;0;0;16;1;30;1706;2117710;429774;252;389;1100
BU01640601;BU01640601;Tuindorp t Lansink;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;955;157;2288;False;6;0;0;6;0;0;229;1;29;6294;5026344;1812908;288;793;1101
BU01640602;BU01640602;Tuindorp-Zuid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;1499;209;1701;False;8;0;0;8;0;0;243;2;24;4900;4004060;1724957;352;1014;1102
BU01640603;BU01640603;Bedrijventerrein Twentekanaal-Noord I;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;11;46;151;False;4;0;0;4;0;0;16;3;39;390;476367;74943;192;496;1103
BU01640604;BU01640604;Nijverheid;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;2265;253;2420;False;9;0;0;9;0;0;171;2;22;6523;5438312;2402327;368;993;1104
BU01640605;BU01640605;Vikkerhoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;338;68;372;False;10;0;0;10;0;0;71;3;25;1130;975209;395776;350;1065;1105
BU01640606;BU01640606;Bedrijventerrein Zeggershoek;WK016406;Wijk 06 Wilderinkshoek;GM0164;Hengelo;Twente;Overijssel;3;16;61;False;4;0;0;4;0;0;3;3;60;102;230928;12221;120;202;1106
BU01640700;BU01640700;Bedrijventerrein Westermaat-Zuidwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;53;180;1241;False;4;0;0;4;0;0;40;1;55;2086;3039814;266558;128;215;1107
BU01640701;BU01640701;Woolde;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;756;150;1426;False;8;0;0;8;0;0;106;2;29;4390;3248243;1029214;234;722;1108
BU01640702;BU01640702;Woolder Es;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1233;177;1394;False;9;0;0;9;0;0;173;2;22;3651;3149660;1399287;383;1004;1109
BU01640703;BU01640703;Weidedorp;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;1595;228;1841;False;9;0;0;7;2;0;359;2;21;4334;3601451;1594642;368;866;1110
BU01640704;BU01640704;Bedrijvenpark Westermaat-Zuidoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;150;818;False;5;0;0;5;0;0;99;3;61;1678;1918312;40237;24;49;1111
BU01640705;BU01640705;Bedrijventerrein Westermaat-Noordoost;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;0;172;352;False;5;0;0;5;0;0;20;4;60;635;930597;98740;155;281;1112
BU01640706;BU01640706;Bedrijventerrein Westermaat-Noordwest;WK016407;Wijk 07 Woolde;GM0164;Hengelo;Twente;Overijssel;2;17;599;False;3;0;0;3;0;0;37;0;76;708;1633486;44686;63;75;1113
BU01640800;BU01640800;Roershoek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;995;25;1094;False;9;0;0;9;0;0;118;2;23;2797;2133202;750531;268;686;1114
BU01640801;BU01640801;Vossenbelt-Zuid;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;932;17;978;False;8;0;0;8;0;0;228;2;20;2139;1576992;565315;264;578;1115
BU01640802;BU01640802;Vossenbelt-Noord;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;845;29;931;False;13;0;1;8;4;0;232;2;22;2266;1630942;491734;217;529;1116
BU01640803;BU01640803;Het Broek;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;923;5;974;False;9;0;0;9;0;0;96;2;21;2304;1672987;529431;230;544;1117
BU01640804;BU01640804;Kristenbos;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;6;3;7;False;13;0;0;13;0;0;2;4;28;24;60872;17459;715;2795;1118
BU01640805;BU01640805;Dalmeden;WK016408;Wijk 08 Slangenbeek;GM0164;Hengelo;Twente;Overijssel;208;1;209;False;11;0;0;11;0;0;20;2;22;610;325765;86214;141;414;1119
BU01640900;BU01640900;Beckum kern;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;210;15;306;False;10;0;0;10;0;0;99;2;27;1148;777642;231609;202;758;1120
BU01640901;BU01640901;Verspreide huizen Slangenbeek;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;18;2;19;False;15;0;0;15;0;0;2;3;27;73;80206;23897;329;1319;1121
BU01640902;BU01640902;Stadspark Weusthag-Noord;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;14;8;35;False;10;0;0;10;0;0;4;5;44;111;129965;16302;147;466;1122
BU01640903;BU01640903;Stadspark Weusthag-Zuid;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;43;15;216;False;6;0;0;6;0;0;13;2;34;663;529310;114674;173;533;1123
BU01640904;BU01640904;Verspreide huizen Driene;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;99;7;105;False;14;0;0;14;0;0;6;3;26;441;568546;180213;409;1719;1124
BU01640905;BU01640905;Verspreide huizen Twekkelo;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;36;61;118;False;9;0;0;9;0;0;6;6;26;542;382938;95496;176;809;1125
BU01640906;BU01640906;Verspreide huizen Oele;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;94;15;100;False;14;0;0;14;0;0;2;3;28;413;700574;187600;454;1894;1126
BU01640907;BU01640907;Verspreide huizen Woolde;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;23;2;24;False;14;0;0;14;0;0;1;3;26;92;198408;52637;570;2284;1127
BU01640909;BU01640909;Verspreide huizen Beckum;WK016409;Wijk 09 Buitengebied;GM0164;Hengelo;Twente;Overijssel;152;20;163;False;13;0;0;13;0;0;2;3;27;621;928648;252753;407;1557;1128
