BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas
BU04570001;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;1519.8;1194;325.8;50;0;0;0;2;19;50;2360;0;2298764;0;0;2882945.75;1583851.13;1571181.62;1373;0;0;0;0;0
BU04570002;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;586.484615;513;73.4846154;45;0;0;0;2;14;45;3013;0;718458;0;0;1141705.75;662142.161;448062.422;560;0;0;0;0;0
BU04570101;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;750.023077;118;632.023077;45;0;0;0;1;28;45;659;0;1288256;0;0;347742.36;170257.946;1031901.43;169;0;0;0;0;0
BU04570102;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;415.707692;368;47.7076923;41;0;0;0;1;14;41;1914;0;496820;0;0;785133.21;461718.132;302778.229;390;0;0;0;0;0
BU04570103;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;333.415385;314;19.4153846;45;0;0;0;2;13;45;1231;0;461259;0;0;772508.564;428214.814;311657.104;331;0;0;0;0;0
BU04570104;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;259.3;254;5.3;46;0;0;0;2;13;46;1272;0;357281;0;0;654292.464;361995.843;229621.292;295;0;0;0;0;0
BU04570201;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;1162.01538;1106;56.0153846;33;0;0;0;1;11;33;1533;0;1134339;0;0;2021770.16;1304222.01;593933.101;1132;0;0;0;0;0
BU04570202;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;553.353846;500;53.3538462;35;0;0;0;2;12;35;1642;0;612651;0;0;911578.38;628783.449;357942.389;551;0;0;0;0;0
BU04570301;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;459.5;424;35.5;34;0;0;0;2;12;34;887;0;459777;0;0;777110.034;531257.034;239450.299;458;0;0;0;0;0
BU04570302;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1004.14615;930;74.1461538;37;0;0;0;2;14;37;1731;0;1183635;0;0;1905707.31;1192288.32;672243.116;1085;0;0;0;0;0
BU04570303;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1030.17692;904;126.176923;32;0;0;0;2;13;32;1831;0;1072834;0;0;1701566.28;1114705.48;581911.746;1004;0;0;0;0;0
BU04570304;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;2695.4;75;2620.4;39;0;0;0;1;17;39;1277;0;3577734;0;0;168758.414;89869.7196;3083764.8;408;0;0;0;0;0
BU04570401;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;756.723077;702;54.7230769;39;0;0;0;1;13;39;1209;0;925130;0;0;1536455.3;961234.507;581256.101;728;0;0;0;0;0
BU04570402;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;797.338462;797;0.338461538;37;0;0;0;1;10;37;1215;0;842642;0;0;1659712.07;1053642.09;483964.273;801;0;0;0;0;0
BU04570701;WK045707;Weesp;Noord-Holland Zuid;Noord-Holland;;165.461538;115;50.4615385;53;0;0;0;3;22;53;17;0;457756;0;0;382167.114;163582.352;402641.637;144;0;0;0;0;0
BU04570801;WK045708;Weesp;Noord-Holland Zuid;Noord-Holland;;220.430769;136;84.4307692;56;0;0;0;5;23;56;12;0;708637;0;0;498946.405;194666.143;640043.629;245;0;0;0;0;0
BU04570901;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;627.553846;510;117.553846;35;0;0;0;2;21;35;788;0;901857;0;0;974120.044;723267.384;598955.104;550;0;0;0;0;0
BU04570902;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;297.507692;12;285.507692;32;0;0;0;1;27;32;550;0;492999;0;0;39632.7224;16731.6924;409441.314;43;0;0;0;0;0
BU04570903;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;36.7461538;33;3.74615385;46;0;0;0;3;17;46;5;0;230515;0;0;88089.8322;46999.1609;239595.134;38;0;0;0;0;0
BU16960000;WK169600;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;939.369231;714;225.369231;56;0;0;0;2;19;56;101;0;1849220;0;0;1906335.91;970498.084;1467217.09;801;0;0;0;0;0
BU16960100;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;190.769231;158;32.7692308;59;0;0;0;3;17;59;37;0;417754;0;0;488457.107;219669.79;343261.616;183;0;0;0;0;0
BU16960101;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;2964.28462;2674;290.284615;42;0;0;0;2;14;42;333;0;3915003;0;0;6099278.85;3687915.32;2499740.71;3039;0;0;0;0;0
BU16960102;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;88.9153846;75;13.9153846;58;0;0;0;3;14;58;72;0;200900;0;0;256461.762;104335.326;169686.869;86;0;0;0;0;0
BU16960103;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;42.5538462;38;4.55384615;64;0;0;0;4;13;64;12;0;132951;0;0;139331.962;53280.1236;125269.45;49;0;0;0;0;0
BU16960200;WK169602;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;125.161538;120;5.16153846;58;0;0;0;2;13;58;31;0;202532;0;0;385760.824;167152.059;147229.633;124;0;0;0;0;0
BU16960201;WK169602;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;559.961538;491;68.9615385;46;0;0;0;2;13;46;111;0;879038;0;0;1257189.09;686127.62;635875.916;571;0;0;0;0;0
BU16960202;WK169602;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;71.2461538;56;15.2461538;59;0;0;0;2;21;59;29;0;127798;0;0;186999.914;80438.5066;91907.0126;61;0;0;0;0;0
BU16960300;WK169603;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;1565.33846;1090;475.338462;50;0;0;0;4;19;50;111;0;2912392;0;0;3117650.09;1468392.08;2186570.81;1565;0;0;0;0;0
BU16960400;WK169604;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;3359.99231;2706;653.992308;49;0;0;0;2;18;49;330;0;5357030;0;0;6907026.02;3747634;3792897.76;3125;0;0;0;0;0
BU16960401;WK169604;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;66.7692308;65;1.76923077;65;0;0;0;3;13;65;310;0;134141;0;0;240957.208;92948.2164;107035.648;69;0;0;0;0;0
BU16960402;WK169604;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;359.238462;137;222.238462;54;0;0;0;14;22;54;138;0;748885;0;0;464762.194;187383.113;467357.257;663;0;0;0;0;0
BU16960500;WK169605;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;143.407692;138;5.40769231;59;0;0;0;2;12;59;66;0;248523;0;0;448631.73;190733.22;190341.703;145;0;0;0;0;0
BU16960601;WK169606;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;697.146154;545;152.146154;51;0;0;0;4;17;51;137;0;1177584;0;0;1466668.65;777182.586;845694.156;730;0;0;0;0;0
BU16960602;WK169606;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;609.238462;570;39.2384615;41;0;0;0;2;14;41;337;0;828488;0;0;1298020.25;785171.313;552903.529;604;0;0;0;0;0
BU16960603;WK169606;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;418.315385;287;131.315385;65;0;0;0;2;20;65;45;0;1039961;0;0;1020248.46;408293.475;886566.922;328;0;0;0;0;0
BU16960604;WK169606;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;909.3;831;78.3;44;0;0;0;2;14;44;177;0;1368582;0;0;1989024.25;1161622.85;974201.27;925;0;0;0;0;0
BU19420000;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1548.90769;936;612.907692;47;0;0;0;3;30;47;3343;0;2708743;0;0;1943876.17;1155774.37;1833946.85;1324;0;0;0;0;0
BU19420001;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1213.05385;867;346.053846;45;0;0;0;2;24;45;2696;0;1856528;0;0;1773439.96;1084168.63;1227662.57;1019;0;0;0;0;0
BU19420002;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;798.776923;632;166.776923;47;0;0;0;2;20;47;2843;0;1179836;0;0;1503322.99;839325.391;785707.671;719;0;0;0;0;0
BU19420003;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;569.123077;500;69.1230769;52;0;0;0;2;15;52;2577;0;859015;0;0;1336803.36;696771.714;608915.111;537;0;0;0;0;0
BU19420004;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;655.361538;564;91.3615385;42;0;0;0;2;17;42;2759;0;825326;0;0;1309413.07;753585.446;508173.691;616;0;0;0;0;0
BU19420005;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;541.484615;499;42.4846154;48;0;0;0;2;12;48;2243;0;706962;0;0;1246883.96;710449.054;468930.693;527;0;0;0;0;0
BU19420006;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;510.284615;420;90.2846154;47;0;0;0;2;14;47;2220;0;659755;0;0;901260.738;558575.108;431703.596;472;0;0;0;0;0
BU19420007;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;717.823077;633;84.8230769;41;0;0;0;2;15;41;1592;0;942623;0;0;1292479.99;813194.991;570761.659;774;0;0;0;0;0
BU19420008;WK194200;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;560;459;101;56;0;0;0;3;19;56;2068;0;902839;0;0;1291482.5;620260.518;610433.55;584;0;0;0;0;0
BU19420100;WK194201;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;443.184615;315;128.184615;64;0;0;0;3;23;64;2024;0;850750;0;0;994295.875;441066.788;635812.076;384;0;0;0;0;0
BU19420101;WK194201;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;395.992308;245;150.992308;45;0;0;0;2;24;45;1587;0;653469;0;0;568604.018;333555.852;467455.853;302;0;0;0;0;0
BU19420102;WK194201;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;542.869231;438;104.869231;53;0;0;0;2;16;53;1485;0;869277;0;0;1305382.51;621443.703;633275.049;489;0;0;0;0;0
BU19420103;WK194201;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;210.184615;191;19.1846154;74;0;0;0;3;16;74;796;0;447047;0;0;730270.65;289300.342;359376.066;199;0;0;0;0;0
BU19420104;WK194201;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;616.638462;431;185.638462;55;0;0;0;2;15;55;911;0;1009489;0;0;1234777.49;580776.983;782096.41;455;0;0;0;0;0
BU19420200;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;86.5307692;1;85.5307692;88;0;0;0;3;21;88;469;0;192791;0;0;2002.54576;1314.57778;173227.339;16;0;0;0;0;0
BU19420201;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;460.707692;444;16.7076923;54;0;0;0;2;14;54;1598;0;685416;0;0;1317962.23;647774.243;478068.449;460;0;0;0;0;0
BU19420202;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;423.084615;410;13.0846154;41;0;0;0;1;13;41;1918;0;527827;0;0;929240.207;571017.744;337000.516;422;0;0;0;0;0
BU19420203;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;273.323077;260;13.3230769;55;0;0;0;2;12;55;1323;0;411556;0;0;820663.116;383188.556;289052.502;284;0;0;0;0;0
BU19420204;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;603.176923;531;72.1769231;53;0;0;0;2;14;53;1361;0;890348;0;0;1389622.7;740428.734;625095.149;559;0;0;0;0;0
BU19420205;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1025.30769;920;105.307692;41;0;0;0;2;14;41;1503;0;1306519;0;0;2040874.15;1190067.14;763235.361;1172;0;0;0;0;0
BU19420206;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1570.20769;1275;295.207692;43;0;0;0;2;16;43;1450;0;1996674;0;0;2651648.11;1625351.85;1150904.5;1712;0;0;0;0;0
BU19420207;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;849.353846;801;48.3538462;38;0;0;0;2;13;38;1099;0;1022797;0;0;1635847.76;1092192.25;618994.128;884;0;0;0;0;0
BU19420208;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;713.707692;700;13.7076923;40;0;0;0;2;11;40;1624;0;826372;0;0;1539740.54;971825.246;496940.546;738;0;0;0;0;0
BU19420209;WK194202;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1287.51538;1070;217.515385;36;0;0;0;2;17;36;1072;0;1573308;0;0;1975442.01;1328936.6;889869.838;1331;0;0;0;0;0
BU19420300;WK194203;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;519.569231;392;127.569231;64;0;0;0;3;18;64;1343;0;990178;0;0;1249723.44;548760.917;762687.906;456;0;0;0;0;0
BU19420301;WK194203;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;206.746154;155;51.7461538;66;0;0;0;3;21;66;1144;0;401109;0;0;430819.821;203083.649;298057.597;202;0;0;0;0;0
BU19420302;WK194203;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;674.830769;517;157.830769;69;0;0;0;2;15;69;1009;0;1272568;0;0;1834332.15;746635.298;1012828.22;550;0;0;0;0;0
BU19420303;WK194203;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;272.730769;269;3.73076923;65;0;0;0;3;12;65;769;0;530499;0;0;975162.444;392849.414;417359.586;284;0;0;0;0;0
BU19420304;WK194203;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;931.923077;696;235.923077;40;0;0;0;2;18;40;1217;0;1230717;0;0;1442730.73;872757.791;784798.771;819;0;0;0;0;0
BU19420305;WK194203;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;238.815385;213;25.8153846;55;0;0;0;3;13;55;563;0;380596;0;0;682511.24;312697.682;278351.58;233;0;0;0;0;0
BU19420306;WK194203;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;349.069231;107;242.069231;33;0;0;0;1;52;33;66;0;909398;0;0;312894.245;149408.157;695689.939;130;0;0;0;0;0
BU19420400;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;748.738462;639;109.738462;51;0;0;0;2;15;51;1288;0;1112565;0;0;1635631.86;871871.162;773159.137;712;0;0;0;0;0
BU19420401;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;565.884615;535;30.8846154;46;0;0;0;2;13;46;222;0;933594;0;0;1345685.59;767331.796;689765.736;579;0;0;0;0;0
BU19420402;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;858.5;773;85.5;52;0;0;0;3;15;52;302;0;1376215;0;0;2204015.39;1098825.46;931753.607;1002;0;0;0;0;0
BU19420403;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;340.738462;324;16.7384615;47;0;0;0;2;14;47;893;0;482839;0;0;844213.261;462096.808;323498.244;352;0;0;0;0;0
BU19420404;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;537.953846;527;10.9538462;40;0;0;0;2;12;40;1158;0;638298;0;0;1201258.28;738181.957;388717.235;561;0;0;0;0;0
BU19420408;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;157.953846;4;153.953846;21;0;0;0;2;72;21;17;0;602071;0;0;15625.881;5979.08953;503521.277;35;0;0;0;0;0
BU19420409;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1;1;0;63;0;0;0;2;11;63;8;0;38947;0;0;3522.10794;1367.20178;42861.1185;1;0;0;0;0;0
BU19420410;WK194204;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;138.261538;74;64.2615385;56;0;0;0;3;34;56;11;0;564928;0;0;259484.26;104919.795;537602.598;91;0;0;0;0;0
BU19420501;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1152.86154;836;316.861538;56;0;0;0;3;23;56;1147;0;1988074;0;0;2189809.14;1165418.67;1405121.1;1071;0;0;0;0;0
BU19420502;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1847.95385;1687;160.953846;42;0;0;0;2;14;42;974;0;2452056;0;0;3768703.58;2325487.96;1557344.29;1933;0;0;0;0;0
BU19420503;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;201.376923;181;20.3769231;52;0;0;0;3;13;52;191;0;360545;0;0;536517.539;272104.805;276287.179;197;0;0;0;0;0
BU19420504;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;543.8;10;533.8;43;0;0;0;3;44;43;522;0;1320650;0;0;30480.956;13581.5409;1074640.38;166;0;0;0;0;0
BU19420506;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;278.638462;253;25.6384615;56;0;0;0;3;14;56;739;0;485521;0;0;790443.656;369951.251;352053.733;318;0;0;0;0;0
BU19420507;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;582.623077;549;33.6230769;54;0;0;0;2;14;54;1066;0;938465;0;0;1587186.39;760274.595;670320.476;617;0;0;0;0;0
BU19420508;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1156.18462;1054;102.184615;49;0;0;0;2;15;49;1295;0;1779408;0;0;2891141.7;1476968.96;1242420.16;1187;0;0;0;0;0
BU19420509;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1097.86154;716;381.861538;51;0;0;0;2;20;51;509;0;1844182;0;0;1793306.58;967248.688;1375688.41;826;0;0;0;0;0
BU19420510;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;1009.33077;911;98.3307692;52;0;0;0;2;14;52;995;0;1602929;0;0;2674362.61;1282029.06;1164007.55;991;0;0;0;0;0
BU19420511;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;132.969231;96;36.9692308;96;0;0;0;2;25;96;686;0;380369;0;0;391487.156;141596.626;326025.272;99;0;0;0;0;0
BU19420512;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;506.176923;259;247.176923;57;0;0;0;3;32;57;33;0;1461063;0;0;800723.062;367705.956;1244431.64;363;0;0;0;0;0
BU19420513;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;39;25;14;53;0;0;0;5;25;53;3;0;143649;0;0;87153.6811;34891.6236;138419.077;42;0;0;0;0;0
BU19420515;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;46;46;0;64;0;0;0;2;12;64;60;0;118423;0;0;165106.657;68862.9769;105275;46;0;0;0;0;0
BU19420555;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;450.753846;0;450.753846;38;0;0;0;3;52;38;909;0;1057960;0;0;0;0;802817.186;86;0;0;0;0;0
BU19420565;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;581.576923;511;70.5769231;41;0;0;0;2;15;41;1767;0;687965;0;0;1031673.46;668069.237;382740.234;617;0;0;0;0;0
BU19420575;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;209.676923;183;26.6769231;44;0;0;0;3;15;44;819;0;286316;0;0;445672.392;253252.62;164806.023;261;0;0;0;0;0
BU19420585;WK194205;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;461.230769;405;56.2307692;40;0;0;0;1;12;40;994;0;578359;0;0;875943.695;554154.758;386065.394;412;0;0;0;0;0
BU03769997;WK037699;Blaricum;Noord-Holland Zuid;Noord-Holland;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BU04069997;WK040699;Huizen;Noord-Holland Zuid;Noord-Holland;;70;70;0;0;0;0;0;0;0;0;0;0;0;0;0;122039.636;85268.3191;98889.5548;0;0;0;0;0;0
BU19429997;WK194299;Gooise_Meren;Noord-Holland Zuid;Noord-Holland;;0.546153846;0;0.546153846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42935.6845;0;0;0;0;0;0
